Func,runtime
insertPoints , 0.73625
findPointsRtree , 0.00103
insertPoints , 0.99445
findPointsRtree , 0.00109
insertPoints , 0.73781
findPointsRtree , 0.00114
insertPoints , 0.97278
findPointsRtree , 0.0023
insertPoints , 0.86898
findPointsRtree , 0.00097
insertPoints , 0.78269
findPointsRtree , 0.00084
insertPoints , 0.744
findPointsRtree , 0.00079
insertPoints , 0.84012
findPointsRtree , 0.00074
insertPoints , 0.60637
findPointsRtree , 0.00118
insertPoints , 0.63159
findPointsRtree , 0.00075
insertPoints , 0.69957
findPointsRtree , 0.0008
insertPoints , 0.68087
findPointsRtree , 0.00089
insertPoints , 0.69585
findPointsRtree , 0.0008
insertPoints , 0.68583
findPointsRtree , 0.00088
insertPoints , 0.65066
findPointsRtree , 0.00074
insertPoints , 0.65423
findPointsRtree , 0.00075
insertPoints , 0.67238
findPointsRtree , 0.00084
insertPoints , 0.77672
findPointsRtree , 0.00082
insertPoints , 0.75397
findPointsRtree , 0.00076
insertPoints , 0.68266
findPointsRtree , 0.00107
insertPoints , 0.66265
findPointsRtree , 0.00123
insertPoints , 0.91018
findPointsRtree , 0.00297
insertPoints , 0.96174
findPointsRtree , 0.00177
insertPoints , 1.25429
findPointsRtree , 0.00159
insertPoints , 1.00907
findPointsRtree , 0.00102
insertPoints , 0.90213
findPointsRtree , 0.00107
insertPoints , 0.72076
findPointsRtree , 0.00095
insertPoints , 0.8031
findPointsRtree , 0.00093
insertPoints , 0.98752
findPointsRtree , 0.0008
insertPoints , 0.69901
findPointsRtree , 0.00071
insertPoints , 0.5703
findPointsRtree , 0.00077
insertPoints , 0.62392
findPointsRtree , 0.00069
insertPoints , 0.77608
findPointsRtree , 0.00071
insertPoints , 0.6501
findPointsRtree , 0.00077
insertPoints , 0.57722
findPointsRtree , 0.00079
insertPoints , 0.6279
findPointsRtree , 0.00072
insertPoints , 0.53937
findPointsRtree , 0.00074
insertPoints , 0.71863
findPointsRtree , 0.0008
insertPoints , 0.68736
findPointsRtree , 0.00078
insertPoints , 0.75819
findPointsRtree , 0.00077
insertPoints , 0.61887
findPointsRtree , 0.00155
insertPoints , 0.72236
findPointsRtree , 0.0007
insertPoints , 0.60525
findPointsRtree , 0.00083
insertPoints , 0.64077
findPointsRtree , 0.00072
insertPoints , 0.61885
findPointsRtree , 0.00083
insertPoints , 0.7991
findPointsRtree , 0.00154
insertPoints , 0.84892
findPointsRtree , 0.00141
insertPoints , 0.8414
findPointsRtree , 0.00073
insertPoints , 0.77756
findPointsRtree , 0.00074
insertPoints , 0.66394
findPointsRtree , 0.00076
insertPoints , 0.59942
findPointsRtree , 0.00072
insertPoints , 0.69848
findPointsRtree , 0.00078
insertPoints , 0.69123
findPointsRtree , 0.00078
insertPoints , 0.60974
findPointsRtree , 0.00073
insertPoints , 0.70433
findPointsRtree , 0.00069
insertPoints , 0.75528
findPointsRtree , 0.00088
insertPoints , 0.56918
findPointsRtree , 0.00062
insertPoints , 0.73338
findPointsRtree , 0.00082
insertPoints , 0.81396
findPointsRtree , 0.0008
insertPoints , 0.85692
findPointsRtree , 0.00182
insertPoints , 0.7283
findPointsRtree , 0.00113
insertPoints , 0.67902
findPointsRtree , 0.00073
insertPoints , 0.62332
findPointsRtree , 0.00071
insertPoints , 0.53242
findPointsRtree , 0.00079
insertPoints , 0.69634
findPointsRtree , 0.00111
insertPoints , 0.82365
findPointsRtree , 0.00076
insertPoints , 0.70018
findPointsRtree , 0.00162
insertPoints , 0.67498
findPointsRtree , 0.00074
insertPoints , 0.77979
findPointsRtree , 0.00293
insertPoints , 0.85456
findPointsRtree , 0.00188
insertPoints , 0.82894
findPointsRtree , 0.00086
insertPoints , 0.83188
findPointsRtree , 0.00136
insertPoints , 0.72588
findPointsRtree , 0.00109
insertPoints , 0.86932
findPointsRtree , 0.00112
insertPoints , 0.60492
findPointsRtree , 0.00071
insertPoints , 0.64356
findPointsRtree , 0.0007
insertPoints , 0.5805
findPointsRtree , 0.00081
insertPoints , 0.67594
findPointsRtree , 0.00069
insertPoints , 0.75329
findPointsRtree , 0.00079
insertPoints , 0.69984
findPointsRtree , 0.00077
insertPoints , 0.68255
findPointsRtree , 0.0007
insertPoints , 0.59471
findPointsRtree , 0.00065
insertPoints , 0.67716
findPointsRtree , 0.00071
insertPoints , 0.63562
findPointsRtree , 0.00077
insertPoints , 0.57893
findPointsRtree , 0.00075
insertPoints , 0.74804
findPointsRtree , 0.00069
insertPoints , 0.70562
findPointsRtree , 0.00077
insertPoints , 0.81473
findPointsRtree , 0.00083
insertPoints , 0.69811
findPointsRtree , 0.0007
insertPoints , 0.72876
findPointsRtree , 0.00064
insertPoints , 0.63157
findPointsRtree , 0.00071
insertPoints , 0.54949
findPointsRtree , 0.00068
insertPoints , 0.57673
findPointsRtree , 0.00075
insertPoints , 0.64055
findPointsRtree , 0.00064
insertPoints , 0.65738
findPointsRtree , 0.0007
insertPoints , 0.67885
findPointsRtree , 0.00085
insertPoints , 0.58371
findPointsRtree , 0.00067
insertPoints , 0.61784
findPointsRtree , 0.0007
insertPoints , 0.60327
findPointsRtree , 0.00073
insertPoints , 0.68474
findPointsRtree , 0.00067
insertPoints , 0.7959
findPointsRtree , 0.00068
insertPoints , 0.72319
findPointsRtree , 0.00092
insertPoints , 0.95947
findPointsRtree , 0.00179
insertPoints , 0.90478
findPointsRtree , 0.00128
insertPoints , 0.72298
findPointsRtree , 0.0008
insertPoints , 0.75997
