Func,runtime
insertPoints , 1.44174
findPoints , 0.05511
insertPoints , 1.41599
findPoints , 0.05371
insertPoints , 1.41824
findPoints , 0.05514
insertPoints , 1.47526
findPoints , 0.05734
insertPoints , 1.68128
findPoints , 0.06483
insertPoints , 1.54288
findPoints , 0.05738
insertPoints , 1.48401
findPoints , 0.05899
insertPoints , 1.58557
findPoints , 0.05675
insertPoints , 1.62771
findPoints , 0.06162
insertPoints , 1.51197
findPoints , 0.0553
insertPoints , 1.52732
findPoints , 0.05797
insertPoints , 1.43499
findPoints , 0.05614
insertPoints , 1.59336
findPoints , 0.05529
insertPoints , 1.57851
findPoints , 0.05537
insertPoints , 1.71538
findPoints , 0.06503
insertPoints , 1.63779
findPoints , 0.05845
insertPoints , 1.53785
findPoints , 0.05504
insertPoints , 1.45243
findPoints , 0.05775
insertPoints , 1.50371
findPoints , 1.01256
insertPoints , 2.33913
findPoints , 0.09116
insertPoints , 2.06939
findPoints , 0.07242
insertPoints , 1.90345
findPoints , 0.06833
insertPoints , 1.89523
findPoints , 0.09473
insertPoints , 1.85202
findPoints , 0.06356
insertPoints , 1.93983
findPoints , 0.07368
insertPoints , 1.97497
findPoints , 0.08834
insertPoints , 2.03122
findPoints , 0.0666
insertPoints , 1.97637
findPoints , 0.10346
insertPoints , 2.00084
findPoints , 0.07812
insertPoints , 2.00192
findPoints , 0.06656
insertPoints , 1.81158
findPoints , 0.08008
insertPoints , 1.82044
findPoints , 0.06818
insertPoints , 1.96796
findPoints , 0.10201
insertPoints , 2.04392
findPoints , 0.0918
insertPoints , 2.08137
findPoints , 0.09526
insertPoints , 1.83674
findPoints , 0.06341
insertPoints , 1.91212
findPoints , 0.08399
insertPoints , 1.78928
findPoints , 0.07585
insertPoints , 1.87466
findPoints , 0.07665
insertPoints , 1.93249
findPoints , 0.10626
insertPoints , 2.01413
findPoints , 0.09616
insertPoints , 2.12279
findPoints , 0.08626
insertPoints , 1.90304
findPoints , 0.06955
insertPoints , 1.92534
findPoints , 0.08216
insertPoints , 2.11865
findPoints , 0.0739
insertPoints , 1.82277
findPoints , 0.06403
insertPoints , 1.8165
findPoints , 0.08155
insertPoints , 1.92709
findPoints , 0.08477
insertPoints , 2.06023
findPoints , 0.0885
insertPoints , 1.88559
findPoints , 0.08901
insertPoints , 1.94566
findPoints , 0.07147
insertPoints , 1.8805
findPoints , 0.0727
insertPoints , 1.60344
findPoints , 0.05501
insertPoints , 1.4805
findPoints , 0.05679
insertPoints , 1.4352
findPoints , 0.05693
insertPoints , 1.6356
findPoints , 0.06296
insertPoints , 1.56433
findPoints , 0.05816
insertPoints , 1.48166
findPoints , 0.05561
insertPoints , 1.52293
findPoints , 0.05667
insertPoints , 1.58284
findPoints , 0.06045
insertPoints , 1.58768
findPoints , 0.07443
insertPoints , 1.93528
findPoints , 0.08381
insertPoints , 2.16379
findPoints , 0.07519
insertPoints , 1.84411
findPoints , 0.08269
insertPoints , 1.90526
findPoints , 0.08747
insertPoints , 1.83149
findPoints , 0.06357
insertPoints , 1.71318
findPoints , 0.0612
insertPoints , 1.42084
findPoints , 0.05551
insertPoints , 1.64765
findPoints , 0.06028
insertPoints , 1.43911
findPoints , 0.0553
insertPoints , 1.47888
findPoints , 0.05684
insertPoints , 1.58777
findPoints , 0.05945
insertPoints , 1.59337
findPoints , 0.05759
insertPoints , 1.48256
findPoints , 0.0556
insertPoints , 1.45985
findPoints , 0.05509
insertPoints , 1.43638
findPoints , 0.0571
insertPoints , 1.52653
findPoints , 0.05521
insertPoints , 1.46877
findPoints , 0.05494
insertPoints , 1.68379
findPoints , 0.08938
insertPoints , 1.96291
findPoints , 0.10441
insertPoints , 1.74074
findPoints , 0.05779
insertPoints , 1.51047
findPoints , 0.05532
insertPoints , 1.47911
findPoints , 0.0584
insertPoints , 1.50373
findPoints , 0.05579
insertPoints , 1.3656
findPoints , 0.05628
insertPoints , 1.51069
findPoints , 0.05725
insertPoints , 1.38561
findPoints , 0.05383
insertPoints , 1.56442
findPoints , 0.09242
insertPoints , 1.63649
findPoints , 0.05516
insertPoints , 1.63395
findPoints , 0.05744
insertPoints , 1.52126
findPoints , 0.05811
insertPoints , 1.46953
findPoints , 0.05619
insertPoints , 1.55651
findPoints , 0.05686
insertPoints , 1.6028
findPoints , 0.06386
insertPoints , 1.44745
findPoints , 0.05486
insertPoints , 1.61436
findPoints , 0.07662
insertPoints , 1.59898
findPoints , 0.05643
insertPoints , 1.59158
findPoints , 0.06113
insertPoints , 1.54464
findPoints , 0.05649
insertPoints , 1.4931
findPoints , 0.05638
insertPoints , 1.51581
